,# STITCH 1,STITCH 2,Polypharmacy Side Effect,Side Effect Name
1937108,CID000002806,CID000003386,C0010043,corneal ulcer
2505354,CID000002812,CID005481350,C0004623,Bacterial infection
345644,CID000005090,CID000005376,C0020625,blood sodium decreased
616007,CID000002083,CID000004034,C0015806,femoral neck fracture
292450,CID000003032,CID000003696,C0003811,Arrhythmia
2053020,CID000002088,CID000003702,C0036974,cardiovascular collapse
499875,CID000002576,CID000060147,C0018681,Head ache
1232601,CID000002764,CID000004259,C0221706,road traffic accident
1398919,CID000003385,CID000004635,C0008033,pleural pain
812264,CID000003454,CID000005978,C0007758,cerebellar ataxia
212957,CID000003305,CID000004594,C0005758,bleb
1836592,CID000001302,CID000123620,C0231528,aching muscles
2516794,CID000002666,CID000004900,C0041952,calculus ureteric
1641200,CID000004159,CID000004409,C0027051,heart attack
1258611,CID000004894,CID000005002,C0013595,eczema
1137315,CID000003911,CID000004594,C0037287,Nodule Skin
176226,CID000002732,CID000003883,C0018681,Head ache
2450712,CID000003640,CID000027991,C0013362,dysarthria
1473783,CID000001065,CID000123631,C0011991,diarrhea
1972281,CID000003158,CID000005212,C0019080,Bleeding
1504709,CID000002895,CID000004634,C0027497,nausea
452612,CID000002083,CID000003793,C0011880,diabetic acidosis
1901088,CID000003345,CID000004107,C0262627,Seroma
788171,CID000003222,CID000005533,C0020649,arterial pressure NOS decreased
1917232,CID000041774,CID000077999,C0040213,costochondritis
1031286,CID000004034,CID000005656,C0522055,abnormal ECG
657493,CID000004485,CID000056339,C0085631,agitated
1809887,CID000002812,CID000005651,C0015469,facial palsy
455738,CID000003333,CID000003476,C0032285,neumonia
1723505,CID000004510,CID000041781,C0497156,Adenopathy
1811205,CID000005002,CID000005514,C0151744,Cardiac ischemia
574563,CID000004635,CID000005291,C0242528,azotaemia
1491499,CID000002771,CID000176168,C0004093,asthenia
271407,CID000003883,CID000110634,C0018799,cardiac disease
720651,CID000002022,CID000003157,C0149725,Chest infection
400909,CID000002666,CID000003222,C0000737,abdominal pain
2418563,CID000003958,CID000004205,C0022679,renal cyst
2315830,CID000002156,CID000003157,C0151825,bone pain
840278,CID000002250,CID000006691,C0085096,Disorder Peripheral Vascular
1290940,CID000000853,CID000002522,C0151514,atrophy of skin
984694,CID000003883,CID000005038,C0085661,Onycholysis
1399131,CID000005647,CID000125889,C0022346,icterus
1554439,CID000005073,CID000005426,C0013144,drowsiness
2309025,CID000004927,CID000006691,C0038454,apoplexy
276051,CID000003016,CID000005454,C0149512,acute sinusitis
1517216,CID000003367,CID000003440,C0002871,anaemia
2364193,CID000004259,CID000004595,C0009806,constipated
1129857,CID000004674,CID000123631,C0019360,herpes zoster
429315,CID000003345,CID000005376,C0034063,lung edema
2113949,CID000002585,CID000003702,C0036974,cardiovascular collapse
156414,CID000002786,CID000004635,C0007642,cellulitis
2040520,CID000002771,CID000003385,C0085615,bundle branch block right
707293,CID000003696,CID000003890,C0040822,tremor
607067,CID000002088,CID000005578,C0020649,arterial pressure NOS decreased
1138383,CID000002666,CID000005656,C0151766,Abnormal LFTs
1232242,CID000002764,CID000004253,C0026896,myasthenia gravis
1904392,CID000005152,CID000041781,C0018965,blood in urine
382196,CID000003121,CID000060953,C0030554,Paraesthesia
1548613,CID000005512,CID000005544,C0037199,Sinusitis
2215922,CID000002812,CID000004171,C0011884,Diabetic Retinopathy
1468498,CID000003440,CID000003793,C0232492,abdominal pain upper
1014509,CID000003345,CID000004917,C0030305,pancreatitis
1380064,CID000003007,CID000004253,C0206062,ild
1962977,CID000004236,CID000004917,C0019360,herpes zoster
415064,CID000005391,CID000065999,C0000731,abdominal distension
1388988,CID000002083,CID000002524,C0014038,encephalitis
1398651,CID000002162,CID000176168,C0018965,blood in urine
1539201,CID000001983,CID000005505,C0000731,abdominal distension
1723793,CID000004594,CID000060164,C0042029,Infection Urinary Tract
1049091,CID000003003,CID000004927,C0001824,agranulocytoses
860076,CID000002576,CID000003446,C0004601,back injury
1906189,CID000003958,CID000006691,C0006840,Candida Infection
583539,CID000004200,CID000004894,C0018989,hemiparesis
158490,CID000002171,CID000003222,C0022602,actinic keratosis
2552369,CID000000444,CID000003222,C0040128,thyroid disease
364901,CID000003152,CID000005212,C0020625,blood sodium decreased
2508740,CID000054688,CID000060835,C0006444,bursitis
1835103,CID000001978,CID000002550,C0017160,gastroenteritis
2064305,CID000002118,CID000004112,C0040213,costochondritis
2306563,CID000000271,CID000060754,C0221245,Rhagades
2059899,CID000005245,CID001349907,C0008350,cholelithiasis
917869,CID000002244,CID000005291,C0085624,burning sensation
567814,CID000003750,CID000004691,C0151699,haemorrhage intracranial
1566405,CID000002803,CID000004485,C0017574,gingivitis
1545233,CID000002756,CID000002895,C0043094,weight gain
1760330,CID000003440,CID000005005,C0011168,deglutition disorder
265615,CID000000581,CID000004510,C0020542,pulmonary hypertension
2113663,CID000002662,CID000125889,C0008767,Scar
241896,CID000002541,CID000004171,C0032302,pneumonia primary atypical
1716627,CID000004585,CID000004603,C0010200,Cough
534272,CID000003488,CID003468412,C1527344,dysphonia
2087913,CID000005077,CID000005203,C0024117,chronic obstructive airway disease
1760223,CID000000853,CID005493381,C0019158,hepatitis
2129464,CID000003348,CID000005717,C0270996,eye swelling
1119391,CID000001983,CID000003883,C0018674,head injury
505260,CID000004635,CID000005731,C0027497,nausea
524931,CID000002662,CID000005078,C0042769,Infection Viral
1770595,CID000003062,CID000004053,C0005697,neurogenic bladder
1552077,CID000001302,CID000002895,C0020458,hyperhidrosis
427256,CID000002891,CID000004894,C0085631,agitated
1603968,CID000001065,CID000004679,C0013362,dysarthria
1551734,CID000002171,CID000003157,C0035078,kidney failure
151207,CID000003639,CID000005005,C0085636,Light sensitivity
2234498,CID000003516,CID000005002,C0231807,Dyspnea exertional
1258925,CID000038904,CID000060831,C0015672,Fatigue
2091942,CID000003461,CID000004253,C0032227,Pleural Effusion
152377,CID000004171,CID000004510,C0001175,acquired immune deficiency syndrome
833172,CID000003449,CID000005002,C0002871,anaemia
1531389,CID000003746,CID000005245,C0027813,Neuritis
1635127,CID000000596,CID000003350,C0039070,Fainting
1325778,CID000004691,CID000004873,C1527344,dysphonia
495524,CID000005512,CID000060835,C0030193,Pain
2257388,CID000003161,CID000005073,C0015967,body temperature increased
495668,CID000002250,CID000005647,C0010054,arteriosclerotic heart disease
561653,CID000006691,CID005311027,C0020473,hyperlipaemia
1260420,CID000003696,CID000005038,C0035078,kidney failure
460152,CID000002171,CID000125889,C0020649,arterial pressure NOS decreased
155305,CID000003676,CID003468412,C0032290,aspiration pneumonia
616579,CID000003957,CID000004856,C0020517,allergies
2410029,CID000003746,CID000005650,C1260880,rhinorrhea
969850,CID000003333,CID000077999,C0042373,angiopathy
1344000,CID000001117,CID000003961,C0085096,Disorder Peripheral Vascular
360618,CID000002022,CID000060147,C0028734,nocturia
1154656,CID000002244,CID000004034,C0086769,panic attack
2272473,CID000004583,CID000004634,C0041909,upper gastrointestinal bleeding
281678,CID000000838,CID000003672,C0017979,glucosuria
2129589,CID000000581,CID000006691,C0020649,arterial pressure NOS decreased
1526051,CID000005650,CID000057537,C0917801,insomnia
2351932,CID000002909,CID000005245,C0318712,gastroenteritis viral
1609982,CID000003325,CID000065999,C0027932,Neurosis
1308308,CID000004991,CID000054454,C0015806,femoral neck fracture
1012826,CID000002764,CID000004510,C0008350,cholelithiasis
1145835,CID000004539,CID000004634,C0003862,Aching joints
442977,CID000060953,CID000104741,C0497247,arterial pressure NOS increased
2419568,CID000004900,CID000072467,C0085605,Hepatic failure
2032795,CID000000143,CID000003672,C0162429,malnourished
389985,CID000002662,CID000006691,C0024115,Disorder Lung
901309,CID000060754,CID005311297,C1145670,respiratory failure
1600595,CID000003883,CID000005732,C0030353,optic disc edema
1766202,CID000001972,CID000004679,C0149521,pancreatitis relapsing
1885758,CID000002520,CID000005029,C0156404,irregular menstrual cycle
1093639,CID000005039,CID000054688,C0699744,ear infection
1467033,CID000004171,CID000150311,C0002103,allergic rhinitis
1192734,CID000000453,CID000002585,C0035078,kidney failure
1682741,CID000002269,CID000002806,C0007787,transient ischaemic attack
1010762,CID000003639,CID000005647,C0036454,scotoma
1070158,CID000003075,CID000004675,C0026986,myelodysplasia
1972264,CID000003158,CID000005212,C0009241,cognitive disorder
1445564,CID000000861,CID000005073,C0038663,attempted suicide
1814308,CID000068740,CID000148211,C0026858,musculoskeletal pain
2103121,CID000003016,CID000005039,C0041582,ulcer
2293255,CID000004856,CID000005090,C0026848,muscle disorder
1173370,CID000002554,CID000004058,C0041912,Infection Upper Respiratory
2314890,CID000002806,CID000060147,C0231807,Dyspnea exertional
315305,CID000004052,CID000005073,C0008033,pleural pain
2002800,CID000002771,CID000003639,C0033975,psychoses
1903959,CID000003121,CID000004510,C0028754,obesity
1889520,CID000001983,CID000003121,C0039239,sinus tachycardia
84398,CID000001117,CID000003869,C0497247,arterial pressure NOS increased
2208014,CID000003883,CID000004909,C0006266,bronchial spasm
1906219,CID000003958,CID000006691,C0030554,Paraesthesia
517262,CID000002083,CID000003446,C0149721,left ventricular hypertrophy
1382218,CID000003345,CID000003365,C0031046,pericarditis
899484,CID000002249,CID000003032,C0020458,hyperhidrosis
1223211,CID000002554,CID000005651,C0018801,cardiac failure
59336,CID000005039,CID000060835,C0022661,Chronic Kidney Disease
1470018,CID000002088,CID000005719,C0042961,volvulus
1183911,CID000002771,CID000005267,C0031117,neuropathy peripheral
76564,CID000001690,CID000002658,C0039231,heart rate increased
551221,CID000002284,CID000003696,C0010692,Bladder inflammation
773160,CID000002891,CID000004609,C0020598,Blood calcium decreased
19263,CID000002083,CID000003367,C0015544,failure to thrive
400248,CID000004594,CID000443871,C0026848,muscle disorder
1647400,CID000002153,CID000060831,C0344232,blurred vision
1411201,CID000002662,CID000062924,C0017160,gastroenteritis
876123,CID000004253,CID000004473,C0035222,Acute Respiratory Distress Syndrome
739850,CID000002462,CID000032797,C0015732,faecal incontinence
874820,CID000002269,CID000002812,C0006826,cancer
2147122,CID000005076,CID000038904,C0026948,mycosis fungoides
2155656,CID000002576,CID000002786,C0000737,abdominal pain
1170875,CID000000937,CID000002177,C0018681,Head ache
348997,CID000002550,CID000062924,C0020456,hyperglycaemia
1647891,CID000002771,CID000004594,C0035258,Ekbom Syndrome
972349,CID000004909,CID005311297,C0003126,anosmia
1461062,CID000002471,CID000003559,C0030305,pancreatitis
1107664,CID000005245,CID000060754,C0015230,eruption
1909779,CID000003640,CID000003957,C0017160,gastroenteritis
2047058,CID000002585,CID000003114,C0085610,sinus bradycardia
763260,CID000005523,CID000124087,C0039504,tendon injury
550035,CID000003075,CID000003446,C0036983,septic shock
2123158,CID000005090,CID000005656,C0151611,abnormal EEG
189195,CID000005391,CID000005732,C0009376,colonic polyp
809618,CID000000853,CID000060147,C0003079,Anisocoria
2209407,CID000002130,CID000002806,C0282488,Cystitis Interstitial
1101583,CID000003222,CID000004205,C0442874,neuropathy
318446,CID000004112,CID000004205,C0004144,atelectasis
1896010,CID000003763,CID000004253,C0005747,Blepharospasm
372678,CID000000853,CID000002249,C0016470,food allergy
861413,CID000002524,CID000004168,C0009917,contracture
2451932,CID000002088,CID000004510,C0016034,breast dysplasia
1188175,CID000003957,CID000005656,C0020517,allergies
2319247,CID000002088,CID000005090,C0206062,ild
603252,CID000000444,CID000005035,C0038363,aphthous stomatitis
991984,CID000002895,CID000003386,C0162316,iron deficiency anaemia
1807596,CID000003476,CID000004583,C0031117,neuropathy peripheral
1594613,CID000003639,CID000004205,C0151786,muscle weakness
1039328,CID000002171,CID000004603,C0013404,Difficulty breathing
1282358,CID000005245,CID000130881,C0013404,Difficulty breathing
1077868,CID000001983,CID000005538,C0013144,drowsiness
517730,CID000002806,CID000003750,C0085605,Hepatic failure
59562,CID000003676,CID000005245,C0042029,Infection Urinary Tract
1547937,CID000060835,CID000072054,C0042024,Incontinence
1793073,CID000005412,CID000060831,C0002871,anaemia
147468,CID000002803,CID000003929,C0032290,aspiration pneumonia
1076205,CID000003478,CID000004543,C0027424,nasal congestion
1454805,CID000002907,CID000004900,C0017181,gastrointestinal bleed
2113143,CID000003639,CID000004259,C0009763,conjunctivitis
182216,CID000002806,CID000005645,C0002871,anaemia
474485,CID000002477,CID000060795,C0034212,pyoderma
2514943,CID000004856,CID000005039,C0041956,ureteral obstruction
1743230,CID000004075,CID000005039,C0013404,Difficulty breathing
363736,CID000005002,CID000006691,C0022660,acute kidney failure
1934419,CID000001117,CID000002156,C0036572,convulsion
1703740,CID000002249,CID000003449,C0006145,Breast disorder
2260421,CID000004616,CID000068740,C0020598,Blood calcium decreased
2275920,CID000002554,CID000003878,C0575090,balance disorder
2378294,CID000002895,CID000004168,C0029882,otitis media
523762,CID000000453,CID000002022,C0042798,Abnormal vision
1092958,CID000005466,CID000059708,C0005826,blood pressure abnormal
653306,CID000004112,CID000060147,C0032290,aspiration pneumonia
1469499,CID000004259,CID000060831,C0013144,drowsiness
1886675,CID000002662,CID000005090,C0017675,Glossitis
1836674,CID000002118,CID000004259,C0042384,angiitis
644551,CID000054454,CID005311297,C0010200,Cough
1292397,CID000006691,CID000152945,C0026848,muscle disorder
1367065,CID000003386,CID000005544,C0442874,neuropathy
1720242,CID000004599,CID000005358,C0028754,obesity
466622,CID000004583,CID000005978,C0027769,nervous tension
1358869,CID000005039,CID000005379,C0149726,pulmonary mass
1076086,CID000004889,CID000056959,C0595939,still birth
2401739,CID000003648,CID000005732,C0221150,odynophagia
1552571,CID000004510,CID000005379,C0006384,bundle branch block
1807893,CID000004900,CID000087177,C0011168,deglutition disorder
659460,CID000005203,CID000005651,C0039240,Supraventricular tachycardia
666873,CID000003478,CID000004107,C0012833,dizziness
197246,CID000005544,CID000156419,C0042963,emesis
1519868,CID000062924,CID000130881,C0520463,chronic active hepatitis
424194,CID000000772,CID000004900,C0031039,pericardial effusion
1493458,CID000002083,CID000004509,C0018524,Hallucination
710445,CID000002269,CID000002895,C0033775,anal pruritus
2375990,CID000004594,CID000005523,C0595939,still birth
470891,CID000002083,CID000004856,C0027424,nasal congestion
463515,CID000003222,CID000005029,C0080274,bladder retention
2135542,CID000003325,CID000004236,C0038002,enlarged spleen
2160704,CID000004666,CID000004894,C0149871,deep vein thromboses
1259391,CID000001690,CID000004171,C0022679,renal cyst
2268137,CID000003158,CID000003446,C0018965,blood in urine
1922763,CID000002524,CID000002541,C0020598,Blood calcium decreased
652309,CID000003279,CID000005076,C0011615,allergic dermatitis
2299428,CID000002244,CID000005533,C0004144,atelectasis
1602528,CID000002609,CID000004889,C0012833,dizziness
89751,CID000003339,CID000005533,C0034065,Embolism pulmonary
2462744,CID000002771,CID000003780,C0011175,dehydration
988016,CID000002099,CID000003016,C0007859,cervicalgia
1758607,CID000003878,CID000059708,C0028081,night sweat
